Idosoby;Płeć;Wiek;Wykształcenie;Zamieszkanie;Wierzący;Religia;Myślenie o śmierci przygnębia mnie (Lęk);Często zastanawiam się, w jakiej sytuacji byłbym skłonny odebrać sobie życie (Fascynacja);Perspektywa mojej śmierci jest dla mnie przerażająca (Lęk);Śmierć jest dla mnie czymś przykrym (Lęk);Lubię wyobrażać sobie, w jaki sposób umrę (Fascynacja);Gdy ktoś porusza w mojej obecności kwestię śmierci, szybko staram się zmienić temat rozmowy (Lęk);W chwilach ciężkiego przygnębienia zaczynam myśleć o swoim zgonie (Fascynacja);Myślę, że w miarę upływu lat będę się częściej modlić (Lęk);W naprawdę ciężkiej sytuacji mógłbym zdecydować się na samobójstwo (Fascynacja);Często myślę o śmierci (Fascynacja);Lubię wyobrażać sobie własny pogrzeb (Fascynacja);Często myślę, że chciałbym umrzeć (Fascynacja);Napełnia mnie przerażeniem, gdy umierają bliskie mi osoby (Lęk);Śmierć jest dla mnie fascynującą tajemnicą (Fascynacja);O śmierci myślę bez lęku (Lęk);Śmierć jest najgorszym nieszczęściem w życiu człowieka (Lęk);Nie lubię filmów, w których jeden z głównych bohaterów umiera (Lęk);Nieraz trudno oderwać mi się od myśli o śmierci (Fascynacja);Lubię poznawać różne rytuały i obrzędy towarzyszące śmierci (Fascynacja);Nieraz wyobrażam sobie, co będzie się ze mną działo po śmierci (Fascynacja);Lubię rozmyślać na tematy związane ze śmiercią (Fascynacja);Interesują mnie obrazy przedstawiające śmierć i umieranie (Fascynacja);Często rozmawiam z ludźmi na temat śmierci (Fascynacja);Koleżeński (Wspolnotowość);Wyrozumiały (Wspólnotowość);Pewny siebie (Sprawczość);Skuteczny (Sprawczość);Opiekuńczy (Wspólnotowość);Przyjazny (Wspólnotowość);Konsekwentny (Sprawczość);Skłonny do kompromisu (Wspólnotowość);Uczynny (Wspólnotowość);Ambitny (Sprawczość);Życzliwy (Wspólnotowość);Doceniający innych (Wspólnotowść);Energiczny (Sprawczość);Przedsiębiorczy (Sprawczość);Współczujący (Wspólnotowość);O silnej woli (Sprawczość);Sprawny (Sprawczość);O skłonnościach przywódczych (Sprawczość);Wspierający innych (Sprawczość);Pomocny (Wspólnotowość);Przekonujący (Sprawczość);Wybaczający (Wspólnotowość);Przebojowy (Sprawczość);Pomysłowy (Sprawczość);Rozumiejący innych (Wspólnotowość);Zaradny (Sprawczość);Poświęcający się dla innych (Wspólnotowość);Zdecydowany (Sprawczość);Aktywny (Sprawczość);Wrażliwy na innych (Wspólnotowość);Pomniejszam wagę swoich osiągnięć (Autodeprecjacja);Sprawiam wrażenie, że wiem więcej, niż to jest naprawdę (Autopromocja);Podkreślam własne zasługi (Autopromocja);Sprawiam wrażenie osoby zajętej ważnymi sprawami (Autopromocja);Wypadam gorzej od drugiej osoby, żeby jej nie sprawić przykrości (Autodeprecjacja); Sprawiam wrażenie osoby niepewnej siebie (Autodeprecjacja);Pewnych zadań podejmuję się dla wykazania, że coś potrafię (Autopromocja);Podkreślam własne umiejętności (Autopromocja);Unikam mówienia o swoich sukcesach (Autodeprecjacja);Gdy niepokoję się, że coś mi nie wyjdzie, opowiadam o tym innym (Autodeprecjacja);Staram się wypaść na osobę znającą się na rzeczy (Autopromocja);Mówię przepraszam, nawet kiedy tak naprawdę to nie moja wina (Autodeprecjacja);Podkreślam swoje wady (Autodeprecjacja);Opowiadam o tym, co mi się udało (Autopromocja);Sprawiam wrażenie osoby pewnej siebie (Autopromocja);Staram się nie wywyższać (Autodeprecjacja);Gdy coś mi dobrze pójdzie, staram się pokazać także swoje wady (Autodeprecjacja);Przyznaję się do własnej bezradności (Autodeprecjacja);Mówię o swoich zaletach (Autopromocja);Nawet gdy czegoś nie potrafię, zachowuję się, jakbym to umiał (Autopromocja);Sprawiam wrażenie osoby kompetentnej (Autopromocja);Zachowuję się bardziej bezradnie niż się czuję (Autodeprecjacja);Opowiadam o tym, co mi się nie udało (Autodeprecjacja);Nadrabiam miną, gdy coś idzie nie tak (Autopromocja);Z góry twierdzę, że nie dam sobie z czymś rady (Autodeprecjacja);Unikam tego, by za dobrze wypaść (Autodeprecjacja);Kiedy brak mi wiedzy na jakiś temat, nie daję tego po sobie poznać (Autopromocja);Mówię zdecydowanym tonem, nawet kiedy wcale nie mam pewności (Autopromocja);Kiedy dobrze wypadnę, przekonuję innych, że to przypadek (Autodeprecjacja);W dyskusji lubię pokazać, że się dobrze znam na rzeczy (Autopromocja);Lęk przed śmiercią;Fascynacja śmiercią;Osobowość sprawcza;Osobowość wspólnotowa;Autodeprecjacja;Autopromocja
96;Kobieta;46;Wyższe (licencjat, magisterium);Wieś;Tak;Katolicyzm;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Raczej nie;Tak;Zdecydowanie tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Zdecydowanie nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Tak;Bardzo czesto;Nigdy;Czasami;Czasami;Czasami;Często;Czasami;Rzadko;Bardzo czesto;Czasami;Czasami;Bardzo czesto;Często;Rzadko;Rzadko;Bardzo czesto;Czasami;Często;Rzadko;Rzadko;Czasami;Często;Rzadko;Czasami;Czasami;Czasami;Rzadko;Rzadko;Czasami;Rzadko;2.22222222222222;2.21428571428571;3.53333333333333;6.06666666666667;3.73333333333333;2.33333333333333
136;Kobieta;45;Wyższe (licencjat, magisterium);Wieś;Nie;Nie wierzący;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Tak;Tak;Zdecydowanie tak;Raczej tak;Raczej tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Nie;Tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Tak;Raczej nie;Zdecydowanie tak;Tak;Tak;Tak;Nigdy;Nigdy;Często;Czasami;Rzadko;Rzadko;Czasami;Czasami;Czasami;Rzadko;Często;Nigdy;Rzadko;Często;Często;Czasami;Czasami;Często;Często;Nigdy;Bardzo czesto;Nigdy;Często;Nigdy;Często;Rzadko;Czasami;Rzadko;Nigdy;Bardzo czesto;1.22222222222222;2.57142857142857;5.46666666666667;5.2;2.33333333333333;3.13333333333333
121;Kobieta;43;Średnie zawodowe;Średnie miasto (do 50 tyś. mieszkańców);Tak;Inne;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej tak;Zdecydowanie tak;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Nie;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Czasami;Czasami;Czasami;Czasami;Czasami;Czasami;Nigdy;Rzadko;Często;Czasami;Czasami;Czasami;Czasami;Czasami;Czasami;Często;Bardzo czesto;Czasami;Rzadko;Rzadko;Często;Rzadko;Czasami;Czasami;Czasami;Często;Czasami;Rzadko;Czasami;Rzadko;1.77777777777778;2.21428571428571;4.06666666666667;5.26666666666667;3.26666666666667;2.6
56;Kobieta;39;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Tak;Zdecydowanie tak;Raczej tak;Tak;Raczej tak;Tak;Raczej tak;Tak;Tak;Raczej tak;Tak;Tak;Zdecydowanie tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Tak;Raczej tak;Tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Tak;Czasami;Rzadko;Rzadko;Czasami;Rzadko;Rzadko;Często;Często;Czasami;Czasami;Rzadko;Nigdy;Rzadko;Czasami;Często;Czasami;Czasami;Czasami;Czasami;Nigdy;Rzadko;Nigdy;Rzadko;Rzadko;Nigdy;Nigdy;Rzadko;Czasami;Rzadko;Rzadko;2;1.21428571428571;5.26666666666667;5.6;2.13333333333333;2.6
7;Kobieta;38;Wyższe (licencjat, magisterium);Małe miasto (5-10 tyś. mieszkańców);Tak;Katolicyzm;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Tak;Tak;Często;Często;Rzadko;Czasami;Nigdy;Często;Rzadko;Rzadko;Czasami;Często;Często;Rzadko;Rzadko;Czasami;Czasami;Często;Rzadko;Często;Czasami;Rzadko;Często;Czasami;Często;Często;Rzadko;Rzadko;Czasami;Czasami;Rzadko;Często;3.88888888888889;1.28571428571429;5.93333333333333;6.8;2.86666666666667;3.06666666666667
122;Kobieta;38;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Rzadko;Nigdy;Nigdy;Nigdy;Nigdy;Nigdy;Nigdy;Rzadko;Rzadko;Czasami;Nigdy;Czasami;Czasami;Czasami;Czasami;Nigdy;Rzadko;Czasami;Często;Nigdy;Często;Nigdy;Czasami;Czasami;Nigdy;Nigdy;Nigdy;Czasami;Czasami;Rzadko;2.55555555555556;1.14285714285714;5.53333333333333;6.13333333333333;2;2.06666666666667
117;Kobieta;36;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Zdecydowanie tak;Raczej nie;Raczej tak;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej tak;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Często;Często;Czasami;Rzadko;Rzadko;Nigdy;Często;Rzadko;Rzadko;Często;Często;Nigdy;Czasami;Często;Często;Często;Rzadko;Często;Często;Rzadko;Często;Rzadko;Czasami;Czasami;Rzadko;Nigdy;Czasami;Często;Nigdy;Często;2.88888888888889;1.64285714285714;4.06666666666667;5.13333333333333;2.4;3.4
77;Kobieta;35;Wyższe (licencjat, magisterium);Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Zdecydowanie tak;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Tak;Tak;Tak;Tak;Tak;Czasami;Często;Rzadko;Czasami;Czasami;Rzadko;Często;Czasami;Czasami;Często;Często;Nigdy;Rzadko;Bardzo czesto;Bardzo czesto;Bardzo czesto;Nigdy;Rzadko;Czasami;Często;Często;Rzadko;Rzadko;Często;Rzadko;Nigdy;Często;Często;Rzadko;Często;3.11111111111111;1.57142857142857;5.66666666666667;6.06666666666667;2.33333333333333;3.8
30;Kobieta;31;Wyższe (licencjat, magisterium);Wieś;Tak;Katolicyzm;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Zdecydowanie tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Zdecydowanie tak;Tak;Tak;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Tak;Raczej nie;Raczej tak;Zdecydowanie tak;Czasami;Czasami;Rzadko;Czasami;Rzadko;Rzadko;Czasami;Często;Czasami;Często;Często;Często;Rzadko;Czasami;Często;Często;Rzadko;Czasami;Często;Rzadko;Często;Czasami;Rzadko;Czasami;Rzadko;Rzadko;Rzadko;Często;Czasami;Czasami;2.66666666666667;1.5;4.46666666666667;6.06666666666667;2.73333333333333;3.2
132;Mężczyzna;31;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Tak;Raczej tak;Tak;Raczej nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Często;Rzadko;Rzadko;Czasami;Rzadko;Czasami;Rzadko;Czasami;Często;Rzadko;Rzadko;Rzadko;Nigdy;Czasami;Czasami;Bardzo czesto;Nigdy;Często;Często;Rzadko;Często;Czasami;Czasami;Rzadko;Czasami;Nigdy;Rzadko;Rzadko;Czasami;Rzadko;2.33333333333333;2;4.46666666666667;5.8;2.73333333333333;2.53333333333333
